dataset,instances,features,n_clusters
a1,3000,2,20
a2,5250,2,35
a3,7500,2,50
atom,800,3,2
birch1_,100000,2,100
birch2_,100000,2,100
birch3_,100000,2,100
chainlink,1000,3,2
dim3,2026,3,9
dim4,2701,4,9
dim5,3376,5,9
dim6,4051,6,9
dim7,4726,7,9
dim8,5401,8,9
dim9,6076,9,9
dim10,6751,10,9
dim11,7426,11,9
dim12,8101,12,9
dim13,8776,13,9
dim14,9451,14,9
dim15,10126,15,9
dim032,1024,32,16
dim064,1024,64,16
dim128,1024,128,16
dim256,1024,256,16
dim512,1024,512,16
dim1024,1024,1024,16
engytime,4096,2,2
golfball_,4002,3,1
hepta,212,3,7
lsun3d,404,3,4
s1,5000,2,15
s2,5000,2,15
s3,5000,2,15
s4,5000,2,15
target,770,2,6
tetra,400,3,4
twodiamonds,800,2,2
unbalance,6500,2,8
wingnut,1016,2,2
banknotes_,1372,4,2
cancer,569,30,2
digits,1797,64,10
iris,150,4,3
red_wine,1599,11,10
white_wine,4898,11,10
dim3-clusters14-instances550-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep1,550,3,14
dim5-clusters4-instances500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance1-rep1,500,5,4
dim6-clusters12-instances450-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance1-rep1,450,6,12
dim11-clusters7-instances2000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep1,2000,11,7
dim14-clusters16-instances2750-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius1-imbalance2-rep1,2750,14,16
dim18-clusters6-instances550-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep1,550,18,6
dim19-clusters15-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep1,3500,19,15
dim21-clusters10-instances2250-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep1,2250,21,10
dim22-clusters19-instances1750-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance2-rep1,1750,22,19
dim25-clusters2-instances200-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep1,200,25,2
dim38-clusters6-instances4500-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius1-imbalance1-rep1,4500,38,6
dim49-clusters16-instances2000-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance2-rep1,2000,49,16
