Dataset,algo,sil,dbs,ari,cluster_diff,predicted_cluster,clusters,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cohesiveness.mean,cohesiveness.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_cor_attr,nr_inst,one_itemset.mean,one_itemset.sd,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t2,t3,t4,t_mean.mean,t_mean.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,wg_dist.mean,wg_dist.sd
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,Ground Truth,0.17,1.71,1.0,0,33,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.17,1.98,0.68,0,33,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.15,2.09,0.64,2,31,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.14,1.97,0.61,1,32,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.13,1.99,0.63,2,31,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.15,2.06,0.56,7,26,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.13,2.05,0.66,8,41,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.16,1.94,0.74,8,41,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.16,1.96,0.61,4,29,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
dim24-clusters33-instances2250-overlap1e-06-1e-05-aspectref4.5-aspectmaxmin8.0-radius9.0-imbalance1-dist_[_gumbel_]-rep48.csv,MiniBatchKMeans,0.15,1.96,0.5,6,27,33,0.0256,0.0087,3.6993,0.0058,0.0111,977.5466,148.9052,0.1981,0.1412,0.0029,0.0024,0.0162,0.0246,90.0,0.126,0.0795,3.1761,1.8598,0.0927,0.0591,1.0,0.0,0.4924,0.0989,0.4906,0.1087,0.0,0.0,25.0,0.03,2250.0,0.0769,0.0031,1.0,0.0,0.1207,0.0412,0.0422,1.1091,0.0012,0.006,0.0111,0.0089,0.8,0.4915,0.1078,0.142,0.0079,0.0162,0.0157,0.793,0.2305
